CLUB,COUNT
FC Bayern München (GER),17
FC Barcelona (ESP),16
Manchester City FC (ENG),16
Al Sadd SC (QAT),15
Manchester United FC (ENG),14
Real Madrid CF (ESP),13
Al Hilal SFC (KSA),12
Chelsea FC (ENG),12
AFC Ajax (NED),11
Tottenham Hotspur FC (ENG),11
Juventus FC (ITA),11
CA Atlético Madrid (ESP),11
Borussia Dortmund (GER),11
Paris Saint-Germain FC (FRA),11
Arsenal FC (ENG),10
Sevilla FC (ESP),10
Stade Rennais FC (FRA),8
Club Brugge (BEL),8
Brighton & Hove Albion FC (ENG),8
Leicester City FC (ENG),7
Eintracht Frankfurt (GER),7
Liverpool FC (ENG),7
AC Milan (ITA),7
Al Nassr FC (KSA),7
Al Duhail SC (QAT),7
RB Leipzig (GER),7
FC Internazionale (ITA),7
FC Porto (POR),6
Brentford FC (ENG),6
CS Herediano (CRC),6
AS Monaco (FRA),6
CF Montréal (CAN),6
Olympique Marseille (FRA),6
Fulham FC (ENG),6
Jeonbuk Hyundai FC (KOR),6
VfL Borussia Mönchengladbach (GER),6
GNK Dinamo Zagreb (CRO),5
Los Angeles FC (USA),5
Wolverhampton Wanderers FC (ENG),5
AEK Athens (GRE),5
Torino FC (ITA),5
West Ham United FC (ENG),5
Real Betis (ESP),5
SSC Napoli (ITA),5
Valencia CF (ESP),5
SC Freiburg (GER),5
Newcastle United FC (ENG),5
ACF Fiorentina (ITA),5
SL Benca (POR),5
CF Monterrey (MEX),5
Nottingham Forest FC (ENG),5
Galatasaray SK (TUR),5
Villarreal CF (ESP),5
Al Shabab FC (KSA),5
Sporting CP (POR),4
AS Roma (ITA),4
Bayer 04 Leverkusen (GER),4
Besiktas JK (TUR),4
Hellas Verona FC (ITA),4
Seattle Sounders FC (USA),4
Atalanta Bergamo (ITA),4
PSV Eindhoven (NED),4
Olympiacos Piraeus FC (GRE),4
CR Flamengo (BRA),4
FC Red Bull Salzburg (AUT),4
Aston Villa FC (ENG),4
Celtic FC (SCO),4
Everton FC (ENG),4
Heart Of Midlothian FC (SCO),3
Wydad Casablanca (MAR),3
Toronto FC (CAN),3
CF Pachuca (MEX),3
Reading FC (ENG),3
Perspolis Tehran (IRN),3
Ulsan Hyundai FC (KOR),3
Cruz Azul (MEX),3
FC Augsburg (GER),3
Athletic Club (ESP),3
LD Alajuelense (CRC),3
Club León (MEX),3
RC Lens (FRA),3
Deportivo Saprissa (CRC),3
KRC Genk (BEL),3
Espérance Tunis (TUN),3
FK Crvena Zvezda (SRB),3
Al Gharafa SC (QAT),3
Nacional Montevideo (URU),3
Club América (MEX),3
US Salernitana (ITA),3
VfL Wolfsburg (GER),3
VfB Stuttgart (GER),3
Leeds United FC (ENG),3
Swansea City AFC (WAL),3
Royal Antwerp FC (BEL),3
UC Sampdoria (ITA),3
FSV Mainz 05 (GER),3
BSC Young Boys (SUI),3
Central Coast Mariners FC (AUS),3
Feyenoord Rotterdam (NED),3
FC København (DEN),3
