OID_,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long
1,13,13,Australia,AU,Australia,AU,252.1652377,29,Australia,3,Defender,ATKINSON Nathaniel,Nathaniel Caleb,ATKINSON,ATKINSON,6/13/1999 0:00,Heart Of Midlothian FC (SCO),181,"Launceston, Tasmania, Australia",-41.439068,147.1357671
2,10,10,Argentina,AR,Argentina,AR,138.7513483,8,Argentina,8,Midfielder,ACUNA Marcos,Marcos Javier,ACUÑA,ACUÑA,10/28/1991 0:00,Sevilla FC (ESP),172,"Zapala, Neuquén, Argentina",-38.9031623,-70.0649014
3,10,10,Argentina,AR,Argentina,AR,138.7513483,6,Argentina,6,Defender,PEZZELLA German,Germán Alejo,PEZZELLA,PEZZELLA,6/27/1991 0:00,Real Betis (ESP),190,"Bahía Blanca, Argentina",-38.7183177,-62.2663478
4,10,10,Argentina,AR,Argentina,AR,138.7513483,22,Argentina,22,Forward,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTÍNEZ,8/22/1997 0:00,FC Internazionale (ITA),175,"Bahía Blanca, Argentina",-38.7183177,-62.2663478
5,10,10,Argentina,AR,Argentina,AR,138.7513483,23,Argentina,23,Goalkeeper,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTÍNEZ,9/2/1992 0:00,Aston Villa FC (ENG),195,"Mar del Plata, Argentina",-38.0054771,-57.5426106
6,13,13,Australia,AU,Australia,AU,252.1652377,36,Australia,10,Midfielder,HRUSTIC Ajdin,Ajdin,HRUSTIC,HRUSTIC,7/5/1996 0:00,Hellas Verona FC (ITA),180,"Dandenong, Victoria, Australia",-37.9847811,145.2139907
7,13,13,Australia,AU,Australia,AU,252.1652377,33,Australia,7,Forward,LECKIE Mathew,Mathew Allan,LECKIE,LECKIE,2/4/1991 0:00,Melbourne City FC (AUS),181,"Melbourne, Victoria, Australia",-37.8136276,144.9630576
8,13,13,Australia,AU,Australia,AU,252.1652377,34,Australia,8,Defender,WRIGHT Bailey,Bailey Colin,WRIGHT,WRIGHT,7/28/1992 0:00,Sunderland AFC (ENG),184,"Melbourne, Victoria, Australia",-37.8136276,144.9630576
9,13,13,Australia,AU,Australia,AU,252.1652377,42,Australia,16,Defender,BEHICH Aziz,Aziz,BEHICH,BEHICH,12/16/1990 0:00,Dundee United FC (SCO),170,"Melbourne, Victoria, Australia",-37.8136276,144.9630576
10,13,13,Australia,AU,Australia,AU,252.1652377,48,Australia,22,Midfielder,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,3/7/1993 0:00,FC St. Pauli (GER),189,"Melbourne, Australia",-37.8136276,144.9630576
11,13,13,Australia,AU,Australia,AU,252.1652377,35,Australia,9,Forward,MacLAREN Jamie,Jamie,MACLAREN,MACLAREN,7/29/1993 0:00,Melbourne City FC (AUS),179,"Sunbury, Victoria, Australia",-37.5787769,144.7116286
12,10,10,Argentina,AR,Argentina,AR,138.7513483,20,Argentina,20,Midfielder,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,12/24/1998 0:00,Brighton & Hove Albion FC (ENG),176,"Santa Rosa, Argentina",-36.620922,-64.2912369
13,13,13,Australia,AU,Australia,AU,252.1652377,49,Australia,23,Forward,GOODWIN Craig,Craig Alexander,GOODWIN,GOODWIN,12/16/1991 0:00,Adelaide United FC (AUS),183,"Adelaide, Australia",-34.9284989,138.6007456
14,10,10,Argentina,AR,Argentina,AR,138.7513483,2,Argentina,2,Defender,FOYTH Juan,Juan Marcos,FOYTH,FOYTH,1/12/1998 0:00,Villarreal CF (ESP),188,"La Plata, Argentina",-34.9204948,-57.9535657
15,10,10,Argentina,AR,Argentina,AR,138.7513483,12,Argentina,12,Goalkeeper,RULLI Geronimo,Geronimo,RULLI,RULLI,5/20/1992 0:00,Villarreal CF (ESP),189,"La Plata, Argentina",-34.9204948,-57.9535657
16,241,240,Uruguay,UY,Uruguay,UY,18.48697108,760,Uruguay,7,Midfielder,DE LA CRUZ Nicolas,Diego Nicolas,DE LA CRUZ ARCOSA,N. DE LA CRUZ,6/1/1997 0:00,CA River Plate (ARG),167,"Montevideo, Uruguay",-34.9011127,-56.1645314
17,241,240,Uruguay,UY,Uruguay,UY,18.48697108,761,Uruguay,8,Forward,PELLISTRI Facundo,Facundo,PELLISTRI REBOLLO,F. PELLISTRI,12/20/2001 0:00,Manchester United FC (ENG),174,"Montevideo, Uruguay",-34.9011127,-56.1645314
18,241,240,Uruguay,UY,Uruguay,UY,18.48697108,765,Uruguay,12,Goalkeeper,SOSA Sebastian,Carlos Sebastian,SOSA SILVA,S. SOSA,8/19/1986 0:00,CA Independiente (ARG),184,"Montevideo, Uruguay",-34.9011127,-56.1645314
19,241,240,Uruguay,UY,Uruguay,UY,18.48697108,766,Uruguay,13,Defender,VARELA Guillermo,Guillermo,VARELA OLIVERA,G. VARELA,3/24/1993 0:00,CR Flamengo (BRA),173,"Montevideo, Uruguay",-34.9011127,-56.1645314
20,241,240,Uruguay,UY,Uruguay,UY,18.48697108,768,Uruguay,15,Midfielder,VALVERDE Federico,Federico Santiago,VALVERDE DIPETTA,F. VALVERDE,7/22/1998 0:00,Real Madrid CF (ESP),182,"Montevideo, Uruguay",-34.9011127,-56.1645314
21,241,240,Uruguay,UY,Uruguay,UY,18.48697108,769,Uruguay,16,Defender,OLIVERA Mathias,Mathias,OLIVERA MIRAMONTES,M. OLIVERA,10/31/1997 0:00,SSC Napoli (ITA),174,"Montevideo, Uruguay",-34.9011127,-56.1645314
22,241,240,Uruguay,UY,Uruguay,UY,18.48697108,772,Uruguay,19,Defender,COATES Sebastian,Sebastián,COATES NION,S. COATES,10/7/1990 0:00,Sporting CP (POR),196,"Montevideo, Uruguay",-34.9011127,-56.1645314
23,241,240,Uruguay,UY,Uruguay,UY,18.48697108,773,Uruguay,20,Forward,TORRES Facundo,Facundo Daniel,TORRES PEREZ,F. TORRES,4/13/2000 0:00,Orlando City SC (USA),175,"Montevideo, Uruguay",-34.9011127,-56.1645314
24,241,240,Uruguay,UY,Uruguay,UY,18.48697108,775,Uruguay,22,Defender,CACERES Martin,José Martín,CÁCERES SILVA,M. CÁCERES,4/7/1987 0:00,LA Galaxy (USA),178,"Montevideo, Uruguay",-34.9011127,-56.1645314
25,241,240,Uruguay,UY,Uruguay,UY,18.48697108,777,Uruguay,24,Midfielder,CANOBBIO Agustin,Agustin,CANOBBIO GRAVIZ,A. CANOBBIO,10/1/1998 0:00,Athletico Paranaense (BRA),175,"Montevideo, Uruguay",-34.9011127,-56.1645314
26,241,240,Uruguay,UY,Uruguay,UY,18.48697108,778,Uruguay,25,Midfielder,UGARTE Manuel,Manuel,UGARTE RIBEIRO,M. UGARTE,4/11/2001 0:00,Sporting CP (POR),182,"Montevideo, Uruguay",-34.9011127,-56.1645314
27,10,10,Argentina,AR,Argentina,AR,138.7513483,4,Argentina,4,Defender,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,1/1/1997 0:00,Sevilla FC (ESP),175,"González Catán, Argentina",-34.7624548,-58.6315295
28,241,240,Uruguay,UY,Uruguay,UY,18.48697108,755,Uruguay,2,Defender,GIMENEZ Jose Maria,José María,GIMÉNEZ DE VARGAS,J. M. GIMÉNEZ,1/20/1995 0:00,CA Atlético Madrid (ESP),185,"Toledo, Uruguay",-34.7406825,-56.0863325
29,241,240,Uruguay,UY,Uruguay,UY,18.48697108,770,Uruguay,17,Defender,VINA Matias,Matias Nicolas,VIÑA SUSPERREGUY,M. VIÑA,11/9/1997 0:00,AS Roma (ITA),180,"Empalme Olmos, Uruguay",-34.6930716,-55.8961208
30,10,10,Argentina,AR,Argentina,AR,138.7513483,5,Argentina,5,Midfielder,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,6/29/1994 0:00,Juventus FC (ITA),182,"San Justo, Argentina",-34.6874084,-58.5632629
31,10,10,Argentina,AR,Argentina,AR,138.7513483,7,Argentina,7,Midfielder,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,5/24/1994 0:00,CA Atlético Madrid (ESP),180,"Sarandí, Argentina",-34.6832581,-58.3439941
32,13,13,Australia,AU,Australia,AU,252.1652377,30,Australia,4,Defender,ROWLES Kye,Kye Francis,ROWLES,ROWLES,6/24/1998 0:00,Heart Of Midlothian FC (SCO),185,"Kiama, New South Wales, Australia",-34.669198,150.8528343
33,10,10,Argentina,AR,Argentina,AR,138.7513483,3,Argentina,3,Defender,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,8/31/1992 0:00,Olympique Lyon (FRA),172,"Buenos Aires, Argentina",-34.6036844,-58.3815591
34,10,10,Argentina,AR,Argentina,AR,138.7513483,17,Argentina,17,Midfielder,GOMEZ Alejandro,Alejandro Dario,GÓMEZ,GÓMEZ,2/15/1988 0:00,Sevilla FC (ESP),167,"Buenos Aires, Argentina",-34.6036844,-58.3815591
35,10,10,Argentina,AR,Argentina,AR,138.7513483,19,Argentina,19,Defender,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,2/12/1988 0:00,SL Benca (POR),183,"Buenos Aires, Argentina",-34.6036844,-58.3815591
36,10,10,Argentina,AR,Argentina,AR,138.7513483,754,Uruguay,1,Goalkeeper,MUSLERA Fernando,Nestor Fernando,MUSLERA MICOL,F. MUSLERA,6/16/1986 0:00,Galatasaray SK (TUR),190,"Buenos Aires, Argentina",-34.6036844,-58.3815591
37,13,13,Australia,AU,Australia,AU,252.1652377,40,Australia,14,Midfielder,McGREE Riley,Riley Patrick,MCGREE,MCGREE,11/2/1998 0:00,Middlesbrough FC (ENG),178,"Gawler, Australia",-34.5972074,138.7490985
38,10,10,Argentina,AR,Argentina,AR,138.7513483,24,Argentina,24,Midfielder,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNÁNDEZ,1/17/2001 0:00,SL Benca (POR),178,"San Martín, Argentina",-34.5757521,-58.5370965
39,241,240,Uruguay,UY,Uruguay,UY,18.48697108,758,Uruguay,5,Midfielder,VECINO Matias,Matias,VECINO FALERO,M. VECINO,8/24/1991 0:00,SS Lazio (ITA),189,"Canelones, Uruguay",-34.5291043,-56.2873482
40,241,240,Uruguay,UY,Uruguay,UY,18.48697108,779,Uruguay,26,Defender,RODRIGUEZ Jose Luis,Jose Luis,RODRIGUEZ BEBANZ,J. L. RODRIGUEZ,3/14/1997 0:00,Nacional Montevideo (URU),183,"Canelones, Uruguay",-34.5291043,-56.2873482
41,13,13,Australia,AU,Australia,AU,252.1652377,50,Australia,24,Defender,KING Joel,Joel Bruce,KING,KING,10/30/2000 0:00,Odense BK (DEN),179,"Figtree, New South Wales, Australia",-34.4357271,150.8612708
42,10,10,Argentina,AR,Argentina,AR,138.7513483,15,Argentina,15,Forward,GONZALEZ Nicolas,Nicolas Ivan,GONZALEZ,N. GONZALEZ,4/6/1998 0:00,ACF Fiorentina (ITA),180,"Escobar, Argentina",-34.3321464,-58.7831534
43,241,240,Uruguay,UY,Uruguay,UY,18.48697108,756,Uruguay,3,Defender,GODIN Diego,Diego Roberto,GODIN LEAL,D. GODIN,2/16/1986 0:00,CA Velez Sarseld (ARG),185,"Rosario, Uruguay",-34.3215988,-57.3552999
44,241,240,Uruguay,UY,Uruguay,UY,18.48697108,759,Uruguay,6,Midfielder,BENTANCUR Rodrigo,Rodrigo,BENTANCUR COLMAN,R. BENTANCUR,6/25/1997 0:00,Tottenham Hotspur FC (ENG),187,"Nueva Helvecia, Uruguay",-34.3042878,-57.2310521
45,13,13,Australia,AU,Australia,AU,252.1652377,41,Australia,15,Forward,DUKE Mitchell,Mitchell Thomas,DUKE,DUKE,1/18/1991 0:00,Fagiano Okayama (JPN),182,"Liverpool, New South Wales, Australia",-33.9285567,150.9179595
46,241,240,Uruguay,UY,Uruguay,UY,18.48697108,776,Uruguay,23,Goalkeeper,ROCHET Sergio,Sergio Ramón,ROCHET ALVAREZ,S. ROCHET,3/23/1993 0:00,Nacional Montevideo (URU),189,"Nueva Palmira, Uruguay",-33.877469,-58.4002165
47,13,13,Australia,AU,Australia,AU,252.1652377,39,Australia,13,Midfielder,MOOY Aaron,Aaron Frank,MOOY,MOOY,9/15/1990 0:00,Celtic FC (SCO),174,"Sydney, New South Wales, Australia",-33.8688197,151.2092955
48,13,13,Australia,AU,Australia,AU,252.1652377,43,Australia,17,Midfielder,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,6/7/1998 0:00,Heart Of Midlothian FC (SCO),171,"Sydney, Australia",-33.8688197,151.2092955
49,13,13,Australia,AU,Australia,AU,252.1652377,44,Australia,18,Goalkeeper,VUKOVIC Danny,Daniel,VUKOVIC,VUKOVIC,3/27/1985 0:00,Central Coast Mariners FC (AUS),187,"Sydney, New South Wales, Australia",-33.8688197,151.2092955
50,13,13,Australia,AU,Australia,AU,252.1652377,27,Australia,1,Goalkeeper,RYAN Mathew,Mathew David,RYAN,RYAN,4/8/1992 0:00,FC København (DEN),184,"Plumpton, New South Wales, Australia",-33.7514593,150.8412545
51,13,13,Australia,AU,Australia,AU,252.1652377,38,Australia,12,Goalkeeper,REDMAYNE Andrew,Andrew James,REDMAYNE,REDMAYNE,1/13/1989 0:00,Sydney FC (AUS),194,"Gosford, Australia",-33.426667,151.341667
52,10,10,Argentina,AR,Argentina,AR,138.7513483,25,Argentina,25,Defender,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,1/18/1998 0:00,Manchester United FC (ENG),175,"Gualeguay, Argentina",-33.1503285,-59.3104685
53,241,240,Uruguay,UY,Uruguay,UY,18.48697108,767,Uruguay,14,Midfielder,TORREIRA Lucas,Lucas Sebastian,TORREIRA DI PASCUA,L. TORREIRA,2/11/1996 0:00,Galatasaray SK (TUR),168,"Fray Bentos, Uruguay",-33.1228052,-58.2975552
54,10,10,Argentina,AR,Argentina,AR,138.7513483,1,Argentina,1,Goalkeeper,ARMANI Franco,Franco,ARMANI,ARMANI,10/16/1986 0:00,CA River Plate (ARG),189,"Casilda, Santa Fe, Argentina",-33.044522,-61.1650211
55,241,240,Uruguay,UY,Uruguay,UY,18.48697108,763,Uruguay,10,Midfielder,DE ARRASCAETA Giorgian,Giorgian Daniel,DE ARRASCAETA BENEDETTI,G. DE ARRASCAETA,6/1/1994 0:00,CR Flamengo (BRA),177,"Nuevo Berlín, Uruguay",-32.9809545,-58.0470008
56,10,10,Argentina,AR,Argentina,AR,138.7513483,10,Argentina,10,Forward,MESSI Lionel,Lionel Andres,MESSI,MESSI,6/24/1987 0:00,Paris Saint-Germain FC (FRA),170,"Rosario, Santa Fe, Argentina",-32.9587022,-60.6930416
57,10,10,Argentina,AR,Argentina,AR,138.7513483,11,Argentina,11,Forward,DI MARIA Angel,Angel Fabian,DI MARIA,DI MARIA,2/14/1988 0:00,Juventus FC (ITA),178,"Rosario, Argentina",-32.9587022,-60.6930416
58,10,10,Argentina,AR,Argentina,AR,138.7513483,235,Ecuador,1,Goalkeeper,GALINDEZ Hernan,Hernan Ismael,GALINDEZ,GALINDEZ,3/30/1987 0:00,SD Aucas (ECU),189,"Rosario, Argentina",-32.9587022,-60.6930416
59,10,10,Argentina,AR,Argentina,AR,138.7513483,452,Mexico,11,Forward,FUNES MORI Rogelio,Rogelio Gabriel,FUNES MORI,R. FUNES MORI,3/5/1991 0:00,CF Monterrey (MEX),186,"Mendoza, Argentina",-32.8894587,-68.8458386
60,241,240,Uruguay,UY,Uruguay,UY,18.48697108,771,Uruguay,18,Forward,GOMEZ Maxi,Maximiliano,GÓMEZ GONZÁLEZ,M. GÓMEZ,8/14/1996 0:00,Trabzonspor (TUR),186,"Paysandú, Uruguay",-32.3112903,-58.0757701
61,10,10,Argentina,AR,Argentina,AR,138.7513483,26,Argentina,26,Defender,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,4/6/1998 0:00,CA Atlético Madrid (ESP),178,"Embalse, Argentina",-32.204975,-64.4008877
62,10,10,Argentina,AR,Argentina,AR,138.7513483,21,Argentina,21,Forward,DYBALA Paulo,Paulo Exequiel,DYBALA,DYBALA,11/15/1993 0:00,AS Roma (ITA),177,"Laguna Larga, Córdoba, Argentina",-31.7768475,-63.7998764
63,10,10,Argentina,AR,Argentina,AR,138.7513483,9,Argentina,9,Forward,ALVAREZ Julian,Julian,ALVAREZ,J. ALVAREZ,1/31/2000 0:00,Manchester City FC (ENG),170,"Calchín, Córdoba, Argentina",-31.6682192,-63.199948
64,10,10,Argentina,AR,Argentina,AR,138.7513483,13,Argentina,13,Defender,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,4/27/1998 0:00,Tottenham Hotspur FC (ENG),185,"Córdoba, Argentina",-31.4200833,-64.1887761
65,241,240,Uruguay,UY,Uruguay,UY,18.48697108,762,Uruguay,9,Forward,SUAREZ Luis,Luis Alberto,SUAREZ DIAZ,L. SUAREZ,1/24/1987 0:00,Nacional Montevideo (URU),182,"Salto, Uruguay",-31.388028,-57.9612455
66,241,240,Uruguay,UY,Uruguay,UY,18.48697108,774,Uruguay,21,Forward,CAVANI Edinson,Edinson Roberto,CAVANI GOMEZ,E. CAVANI,2/14/1987 0:00,Valencia CF (ESP),188,"Salto, Uruguay",-31.388028,-57.9612455
67,241,240,Uruguay,UY,Uruguay,UY,18.48697108,757,Uruguay,4,Defender,ARAUJO Ronald,Ronald Federico,ARAUJO DA SILVA,R. ARAUJO,3/7/1999 0:00,FC Barcelona (ESP),185,"Rivera, Uruguay",-30.9178625,-55.5469032
68,241,240,Uruguay,UY,Uruguay,UY,18.48697108,764,Uruguay,11,Forward,NUNEZ Darwin,Darwin Gabriel,NUÑEZ RIBEIRO,D. NUÑEZ,6/24/1999 0:00,Liverpool FC (ENG),185,"Artigas, Uruguay",-30.4068179,-56.4775937
69,32,32,Brazil,BR,Brazil,BR,248.7567149,89,Brazil,11,Forward,RAPHINHA,Raphael,DIAS BELLOLI,RAPHINHA,12/14/1996 0:00,FC Barcelona (ESP),176,"Porto Alegre, Brazil",-30.0368176,-51.2089887
70,32,32,Brazil,BR,Brazil,BR,248.7567149,79,Brazil,1,Goalkeeper,ALISSON,Alisson Ramsés,BECKER,A. BECKER,10/2/1992 0:00,Liverpool FC (ENG),193,"Novo Hamburgo, Brazil",-29.6834874,-51.1337575
71,32,32,Brazil,BR,Brazil,BR,248.7567149,94,Brazil,16,Defender,ALEX TELLES,Alex,NICOLAO TELLES,ALEX TELLES,12/15/1992 0:00,Sevilla FC (ESP),181,"Caxias do Sul, Rio Grande do Sul, Brazil",-29.1740137,-51.1812032
72,10,10,Argentina,AR,Argentina,AR,138.7513483,16,Argentina,16,Forward,CORREA Joaquin,Carlos Joaquin,CORREA,J. CORREA,8/13/1994 0:00,FC Internazionale (ITA),188,"Juan Bautista Alberdi, Argentina",-27.5860327,-65.6240762
73,10,10,Argentina,AR,Argentina,AR,138.7513483,14,Argentina,14,Midfielder,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,10/5/1998 0:00,Bayer 04 Leverkusen (GER),177,"Famaillá, Tucumán, Argentina",-27.0560551,-65.4021683
74,10,10,Argentina,AR,Argentina,AR,138.7513483,18,Argentina,18,Midfielder,RODRIGUEZ Guido,Guido,RODRIGUEZ,G. RODRIGUEZ,4/12/1994 0:00,Real Betis (ESP),186,"Sáenz Peña, Argentina",-26.8004428,-60.4312354
75,32,32,Brazil,BR,Brazil,BR,248.7567149,82,Brazil,4,Defender,MARQUINHOS,Marcos,AOAS CORREA,MARQUINHOS,5/14/1994 0:00,Paris Saint-Germain FC (FRA),183,"São Paulo, Brazil",-23.5557714,-46.6395571
76,32,32,Brazil,BR,Brazil,BR,248.7567149,96,Brazil,18,Forward,GABRIEL JESUS,Gabriel Fernando,DE JESUS,G. JESUS,4/3/1997 0:00,Arsenal FC (ENG),175,"São Paulo, Brazil",-23.5557714,-46.6395571
77,32,32,Brazil,BR,Brazil,BR,248.7567149,88,Brazil,10,Forward,NEYMAR,Neymar,DA SILVA SANTOS JUNIOR,NEYMAR JR,2/5/1992 0:00,Paris Saint-Germain FC (FRA),175,"Mogi das Cruzes, Brazil",-23.5393849,-46.216729
78,32,32,Brazil,BR,Brazil,BR,248.7567149,97,Brazil,19,Forward,ANTONY,Antony Matheus,DOS SANTOS,ANTONY,2/24/2000 0:00,Manchester United FC (ENG),172,"Osasco, Brazil",-23.533385,-46.7914568
79,32,32,Brazil,BR,Brazil,BR,248.7567149,99,Brazil,21,Forward,RODRYGO,Rodrygo,SILVA DE GOES,RODRYGO,1/9/2001 0:00,Real Madrid CF (ESP),174,"Osasco, Brazil",-23.533385,-46.7914568
80,32,32,Brazil,BR,Brazil,BR,248.7567149,101,Brazil,23,Goalkeeper,EDERSON,Ederson,SANTANA DE MORAES,EDERSON,8/17/1993 0:00,Manchester City FC (ENG),188,"Osasco, Brazil",-23.533385,-46.7914568
81,32,32,Brazil,BR,Brazil,BR,248.7567149,104,Brazil,26,Forward,GABRIEL MARTINELLI,Gabriel,TEODORO MARTINELLI SILVA,MARTINELLI,6/18/2001 0:00,Arsenal FC (ENG),178,"Guarulhos, Brazil",-23.4543137,-46.5336643
82,32,32,Brazil,BR,Brazil,BR,248.7567149,100,Brazil,22,Midfielder,EVERTON RIBEIRO,Everton Augusto,DE BARROS RIBEIRO,E. RIBEIRO,4/10/1989 0:00,CR Flamengo (BRA),174,"Arujá, São Paulo, Brazil",-23.3951365,-46.3227109
83,32,32,Brazil,BR,Brazil,BR,248.7567149,83,Brazil,5,Midfielder,CASEMIRO,Carlos Henrique,CASIMIRO,CASEMIRO,2/23/1992 0:00,Manchester United FC (ENG),185,"São José dos Campos, São Paulo, Brazil",-23.2198396,-45.8915658
84,32,32,Brazil,BR,Brazil,BR,248.7567149,81,Brazil,3,Defender,THIAGO SILVA,Thiago,EMILIANO DA SILVA,T. SILVA,9/22/1984 0:00,Chelsea FC (ENG),183,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
85,32,32,Brazil,BR,Brazil,BR,248.7567149,85,Brazil,7,Midfielder,LUCAS PAQUETA,Lucas,TOLENTINO COELHO DE LIMA,L. PAQUETÁ,8/27/1997 0:00,West Ham United FC (ENG),180,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
86,32,32,Brazil,BR,Brazil,BR,248.7567149,95,Brazil,17,Midfielder,BRUNO GUIMARAES,Bruno,GUIMARÃES RODRIGUEZ MOURA,BRUNO G.,11/16/1997 0:00,Newcastle United FC (ENG),182,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
87,32,32,Brazil,BR,Brazil,BR,248.7567149,103,Brazil,25,Forward,PEDRO,Pedro Guilherme,ABREU DOS SANTOS,PEDRO,6/20/1997 0:00,CR Flamengo (BRA),185,"Rio de Janeiro, Brazil",-22.9068467,-43.1728965
88,32,32,Brazil,BR,Brazil,BR,248.7567149,568,Portugal,23,Midfielder,MATHEUS NUNES,Matheus Luís,NUNES,MATHEUS N.,8/27/1998 0:00,Wolverhampton Wanderers FC (ENG),181,"Rio de Janeiro, Brazil ",-22.9068467,-43.1728965
89,32,32,Brazil,BR,Brazil,BR,248.7567149,93,Brazil,15,Midfielder,FABINHO,Fabio Henrique,TAVARES,FABINHO,10/23/1993 0:00,Liverpool FC (ENG),188,"Campinas, Brazil",-22.9050824,-47.0613327
90,32,32,Brazil,BR,Brazil,BR,248.7567149,98,Brazil,20,Forward,VINICIUS JUNIOR,Vinicius José,PAIXÃO DE OLIVEIRA JÚNIOR,VINI JR,7/12/2000 0:00,Real Madrid CF (ESP),176,"São Gonçalo, Brazil",-22.8233781,-43.0462495
91,32,32,Brazil,BR,Brazil,BR,248.7567149,80,Brazil,2,Defender,DANILO,Danilo Luiz,DA SILVA,DANILO,7/15/1991 0:00,Juventus FC (ITA),184,"Bicas, Brazil",-21.7171992,-43.062821
92,32,32,Brazil,BR,Brazil,BR,248.7567149,84,Brazil,6,Defender,ALEX SANDRO,Alex Sandro,LOBO SILVA,ALEX SANDRO,1/26/1991 0:00,Juventus FC (ITA),180,"Catanduva, São Paulo, Brazil",-21.1374204,-48.973923
93,32,32,Brazil,BR,Brazil,BR,248.7567149,92,Brazil,14,Defender,EDER MILITAO,Éder Gabriel,MILITÃO,E. MILITÃO,1/18/1998 0:00,Real Madrid CF (ESP),186,"Sertãozinho, São Paulo, Brazil",-21.1323761,-47.9945265
94,32,32,Brazil,BR,Brazil,BR,248.7567149,86,Brazil,8,Midfielder,FRED,Frederico,RODRIGUES DE PAULA SANTOS,FRED,3/5/1993 0:00,Manchester United FC (ENG),169,"Belo Horizonte, Brazil",-19.919052,-43.9386685
95,32,32,Brazil,BR,Brazil,BR,248.7567149,87,Brazil,9,Forward,RICHARLISON,Richarlison,DE ANDRADE,RICHARLISON,5/10/1997 0:00,Tottenham Hotspur FC (ENG),184,"Nova Venécia, Espírito Santo, Brazil",-18.7084516,-40.3955098
96,32,32,Brazil,BR,Brazil,BR,248.7567149,102,Brazil,24,Defender,BREMER,Gleison Bremer,SILVA NASCIMENTO,BREMER,3/18/1997 0:00,Juventus FC (ITA),188,"Itapitanga, Brazil",-14.4214383,-39.5673464
97,32,32,Brazil,BR,Brazil,BR,248.7567149,90,Brazil,12,Goalkeeper,WEVERTON,Weverton,PEREIRA DA SILVA,WEVERTON,12/13/1987 0:00,SE Palmeiras (BRA),189,"Rio Branco, Acre, Brazil",-9.9740249,-67.8098191
