OID_,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng
374,587,Qatar,16,Defender,Boualem Khoukhi,Boualem,KHOUKHI,KHOUKHI,7/9/1990 0:00,Al Sadd SC (QAT),185,"Bou Ismail, Algeria",36.6392852,2.6962722,3,3,Algeria,DZ,Algeria,DZ,70.54008216
101,559,Portugal,14,Midfielder,William Carvalho,William,SILVA DE CARVALHO,WILLIAM,4/7/1992 0:00,Real Betis (ESP),190,"Luanda, Angola",-8.8146556,13.2301756,6,6,Angola,AO,Angola,AO,58.8734698
103,311,France,25,Midfielder,Camavinga Eduardo,Eduardo Celmi,CAMAVINGA,CAMAVINGA,11/10/2002 0:00,Real Madrid CF (ESP),182,"Cabinda, Angola",-5.5705739,12.197583,6,6,Angola,AO,Angola,AO,58.8734698
2,8,Argentina,8,Midfielder,Acuna Marcos,Marcos Javier,ACUÑA,ACUÑA,10/28/1991 0:00,Sevilla FC (ESP),172,"Zapala, Neuquén, Argentina",-38.9031623,-70.0649014,10,10,Argentina,AR,Argentina,AR,138.7513483
3,6,Argentina,6,Defender,Pezzella German,Germán Alejo,PEZZELLA,PEZZELLA,6/27/1991 0:00,Real Betis (ESP),190,"Bahía Blanca, Argentina",-38.7183177,-62.2663478,10,10,Argentina,AR,Argentina,AR,138.7513483
4,22,Argentina,22,Forward,Martinez Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTÍNEZ,8/22/1997 0:00,FC Internazionale (ITA),175,"Bahía Blanca, Argentina",-38.7183177,-62.2663478,10,10,Argentina,AR,Argentina,AR,138.7513483
5,23,Argentina,23,Goalkeeper,Martinez Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTÍNEZ,9/2/1992 0:00,Aston Villa FC (ENG),195,"Mar del Plata, Argentina",-38.0054771,-57.5426106,10,10,Argentina,AR,Argentina,AR,138.7513483
12,20,Argentina,20,Midfielder,Mac Allister Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,12/24/1998 0:00,Brighton & Hove Albion FC (ENG),176,"Santa Rosa, Argentina",-36.620922,-64.2912369,10,10,Argentina,AR,Argentina,AR,138.7513483
14,2,Argentina,2,Defender,Foyth Juan,Juan Marcos,FOYTH,FOYTH,1/12/1998 0:00,Villarreal CF (ESP),188,"La Plata, Argentina",-34.9204948,-57.9535657,10,10,Argentina,AR,Argentina,AR,138.7513483
15,12,Argentina,12,Goalkeeper,Rulli Geronimo,Geronimo,RULLI,RULLI,5/20/1992 0:00,Villarreal CF (ESP),189,"La Plata, Argentina",-34.9204948,-57.9535657,10,10,Argentina,AR,Argentina,AR,138.7513483
27,4,Argentina,4,Defender,Montiel Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,1/1/1997 0:00,Sevilla FC (ESP),175,"González Catán, Argentina",-34.7624548,-58.6315295,10,10,Argentina,AR,Argentina,AR,138.7513483
30,5,Argentina,5,Midfielder,Paredes Leandro,Leandro Daniel,PAREDES,PAREDES,6/29/1994 0:00,Juventus FC (ITA),182,"San Justo, Argentina",-34.6874084,-58.5632629,10,10,Argentina,AR,Argentina,AR,138.7513483
31,7,Argentina,7,Midfielder,De Paul Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,5/24/1994 0:00,CA Atlético Madrid (ESP),180,"Sarandí, Argentina",-34.6832581,-58.3439941,10,10,Argentina,AR,Argentina,AR,138.7513483
33,3,Argentina,3,Defender,Tagliafico Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,8/31/1992 0:00,Olympique Lyon (FRA),172,"Buenos Aires, Argentina",-34.6036844,-58.3815591,10,10,Argentina,AR,Argentina,AR,138.7513483
34,17,Argentina,17,Midfielder,Gomez Alejandro,Alejandro Dario,GÓMEZ,GÓMEZ,2/15/1988 0:00,Sevilla FC (ESP),167,"Buenos Aires, Argentina",-34.6036844,-58.3815591,10,10,Argentina,AR,Argentina,AR,138.7513483
35,19,Argentina,19,Defender,Otamendi Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,2/12/1988 0:00,SL Benca (POR),183,"Buenos Aires, Argentina",-34.6036844,-58.3815591,10,10,Argentina,AR,Argentina,AR,138.7513483
36,754,Uruguay,1,Goalkeeper,Muslera Fernando,Nestor Fernando,MUSLERA MICOL,F. MUSLERA,6/16/1986 0:00,Galatasaray SK (TUR),190,"Buenos Aires, Argentina",-34.6036844,-58.3815591,10,10,Argentina,AR,Argentina,AR,138.7513483
38,24,Argentina,24,Midfielder,Fernandez Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNÁNDEZ,1/17/2001 0:00,SL Benca (POR),178,"San Martín, Argentina",-34.5757521,-58.5370965,10,10,Argentina,AR,Argentina,AR,138.7513483
42,15,Argentina,15,Forward,Gonzalez Nicolas,Nicolas Ivan,GONZALEZ,N. GONZALEZ,4/6/1998 0:00,ACF Fiorentina (ITA),180,"Escobar, Argentina",-34.3321464,-58.7831534,10,10,Argentina,AR,Argentina,AR,138.7513483
52,25,Argentina,25,Defender,Martinez Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,1/18/1998 0:00,Manchester United FC (ENG),175,"Gualeguay, Argentina",-33.1503285,-59.3104685,10,10,Argentina,AR,Argentina,AR,138.7513483
54,1,Argentina,1,Goalkeeper,Armani Franco,Franco,ARMANI,ARMANI,10/16/1986 0:00,CA River Plate (ARG),189,"Casilda, Santa Fe, Argentina",-33.044522,-61.1650211,10,10,Argentina,AR,Argentina,AR,138.7513483
56,10,Argentina,10,Forward,Messi Lionel,Lionel Andres,MESSI,MESSI,6/24/1987 0:00,Paris Saint-Germain FC (FRA),170,"Rosario, Santa Fe, Argentina",-32.9587022,-60.6930416,10,10,Argentina,AR,Argentina,AR,138.7513483
57,11,Argentina,11,Forward,Di Maria Angel,Angel Fabian,DI MARIA,DI MARIA,2/14/1988 0:00,Juventus FC (ITA),178,"Rosario, Argentina",-32.9587022,-60.6930416,10,10,Argentina,AR,Argentina,AR,138.7513483
58,235,Ecuador,1,Goalkeeper,Galindez Hernan,Hernan Ismael,GALINDEZ,GALINDEZ,3/30/1987 0:00,SD Aucas (ECU),189,"Rosario, Argentina",-32.9587022,-60.6930416,10,10,Argentina,AR,Argentina,AR,138.7513483
59,452,Mexico,11,Forward,Funes Mori Rogelio,Rogelio Gabriel,FUNES MORI,R. FUNES MORI,3/5/1991 0:00,CF Monterrey (MEX),186,"Mendoza, Argentina",-32.8894587,-68.8458386,10,10,Argentina,AR,Argentina,AR,138.7513483
