COUNTRY,FREQUENCY,COUNT_COUN,BORN_IN_VS_NAT,TOT_WC_PCTG,PLAY_FOR_BIRTH,PFB_NAT_PCTG,WC_APPEARANCES,WC_HIGHEST
Algeria,1,1,,0.001201923076923077,,,4,RO16
Angola,2,2,,0.002403846153846154,,,1,GS
Argentina,29,29,1.1153846153846154,0.03485576923076923,26,1,18,CHAMP
Australia,17,17,0.6538461538461539,0.020432692307692308,17,0.6538461538461539,6,RO16
Austria,2,2,,0.002403846153846154,,,7,THIRD
Bahrain,1,1,,0.001201923076923077,,,0,NEVER
Belgium,30,30,1.1538461538461537,0.036057692307692304,26,1,14,THIRD
Bosnia and Herzegovina,5,5,,0.006009615384615385,,,1,GS
Brazil,29,29,1.1153846153846154,0.03485576923076923,26,1,22,CHAMP
Côte d'Ivoire,2,2,,0.002403846153846154,,,3,GS
Cameroon,19,19,0.7307692307692307,0.02283653846153846,17,0.6538461538461539,8,QF
Canada,20,20,0.7692307692307693,0.02403846153846154,19,0.7307692307692307,2,GS
Colombia,1,1,,0.001201923076923077,,,6,QF
Congo DRC,1,1,,0.001201923076923077,,,1,GS
Costa Rica,25,25,0.9615384615384616,0.030048076923076924,25,0.9615384615384616,1,QF
Croatia,21,21,0.8076923076923077,0.025240384615384616,18,0.6923076923076923,6,SECOND
Denmark,26,26,1,0.03125,25,0.9615384615384616,6,QF
Ecuador,24,24,0.9230769230769231,0.028846153846153848,24,0.9230769230769231,4,RO16
Egypt,2,2,,0.002403846153846154,,,3,RO16
England,42,42,1.6153846153846154,0.05048076923076923,25,0.9615384615384616,16,CHAMP
France,60,60,2.3076923076923075,0.07211538461538461,22,0.8461538461538461,16,CHAMP
Gambia,1,1,,0.001201923076923077,,,0,NEVER
Germany,31,31,1.1923076923076923,0.037259615384615384,24,0.9230769230769231,20,CHAMP
Ghana,20,20,0.7692307692307693,0.02403846153846154,18,0.6923076923076923,4,QF
Guinea-Bissau,2,2,,0.002403846153846154,,,0,NEVER
Iran,24,24,0.9230769230769231,0.028846153846153848,25,0.9615384615384616,6,GS
Iraq,2,2,,0.002403846153846154,,,1,GS
Italy,3,3,,0.003605769230769231,,,18,CHAMP
Jamaica,1,1,,0.001201923076923077,,,1,GS
Japan,25,25,0.9615384615384616,0.030048076923076924,25,0.9615384615384616,7,GS
Kenya,2,2,,0.002403846153846154,,,0,NEVER
Mexico,25,25,0.9615384615384616,0.030048076923076924,25,0.9615384615384616,17,QF
Morocco,12,12,0.46153846153846156,0.014423076923076924,12,0.46153846153846156,6,TBD
Netherlands,30,30,1.1538461538461537,0.036057692307692304,25,0.9615384615384616,11,SECOND
Nicaragua,1,1,,0.001201923076923077,,,0,NEVER
Poland,24,24,0.9230769230769231,0.028846153846153848,24,0.9230769230769231,9,THIRD
Portugal,20,20,0.7692307692307693,0.02403846153846154,19,0.7307692307692307,8,THIRD
Qatar,16,16,0.6153846153846154,0.019230769230769232,16,0.6153846153846154,1,GS
Saudi Arabia,26,26,1,0.03125,26,1,6,RO16
Scotland,4,4,,0.004807692307692308,,,8,GS
Senegal,14,14,0.5384615384615384,0.016826923076923076,14,0.5384615384615384,3,QF
Serbia,23,23,0.8846153846153846,0.027644230769230768,22,0.8461538461538461,13,FOURTH
South Africa,1,1,,0.001201923076923077,,,3,GS
South Korea,26,26,1,0.03125,26,1,11,FOURTH
Spain,31,31,1.1923076923076923,0.037259615384615384,24,0.9230769230769231,16,CHAMP
Sudan,2,2,,0.002403846153846154,,,0,NEVER
Sweden,1,1,,0.001201923076923077,,,12,SECOND
Switzerland,27,27,1.0384615384615385,0.03245192307692308,23,0.8846153846153846,12,QF
Tunisia,14,14,0.5384615384615384,0.016826923076923076,14,0.5384615384615384,6,GS
Uruguay,25,25,0.9615384615384616,0.030048076923076924,25,0.9615384615384616,14,CHAMP
USA,23,23,0.8846153846153846,0.027644230769230768,21,0.8076923076923077,11,THIRD
Wales,16,16,0.6153846153846154,0.019230769230769232,16,0.6153846153846154,2,QF
