National Team,Number,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),Birth,birth_lat,birth_long
Argentina,1,Goalkeeper,ARMANI Franco,Franco,ARMANI,ARMANI,16/10/1986,CA River Plate (ARG),189,"Casilda, Santa Fe, Argentina",-33.044522,-61.1650211
Argentina,2,Defender,FOYTH Juan,Juan Marcos,FOYTH,FOYTH,12/1/1998,Villarreal CF (ESP),188,"La Plata, Argentina",-34.9204948,-57.95356570000001
Argentina,3,Defender,TAGLIAFICO Nicolas,Nicolás Alejandro,TAGLIAFICO,TAGLIAFICO,31/08/1992,Olympique Lyon (FRA),172,"Buenos Aires, Argentina",-34.6036844,-58.3815591
Argentina,4,Defender,MONTIEL Gonzalo,Gonzalo Ariel,MONTIEL,MONTIEL,1/1/1997,Sevilla FC (ESP),175,"González Catán, Argentina",-34.7624548,-58.6315295
Argentina,5,Midfielder,PAREDES Leandro,Leandro Daniel,PAREDES,PAREDES,29/06/1994,Juventus FC (ITA),182,"San Justo, Argentina",-34.6874084,-58.5632629
Argentina,6,Defender,PEZZELLA German,Germán Alejo,PEZZELLA,PEZZELLA,27/06/1991,Real Betis (ESP),190,"Bahía Blanca, Argentina",-38.7183177,-62.2663478
Argentina,7,Midfielder,DE PAUL Rodrigo,Rodrigo Javier,DE PAUL,DE PAUL,24/05/1994,CA Atlético Madrid (ESP),180,"Sarandí, Argentina",-34.6832581,-58.3439941
Argentina,8,Midfielder,ACUNA Marcos,Marcos Javier,ACUÑA,ACUÑA,28/10/1991,Sevilla FC (ESP),172,"Zapala, Neuquén, Argentina",-38.9031623,-70.0649014
Argentina,9,Forward,ALVAREZ Julian,Julian,ALVAREZ,J. ALVAREZ,31/01/2000,Manchester City FC (ENG),170,"Calchín, Córdoba, Argentina",-31.6682192,-63.199948
Argentina,10,Forward,MESSI Lionel,Lionel Andres,MESSI,MESSI,24/06/1987,Paris Saint-Germain FC (FRA),170,"Rosario, Santa Fe, Argentina",-32.9587022,-60.69304159999999
Argentina,11,Forward,DI MARIA Angel,Angel Fabian,DI MARIA,DI MARIA,14/02/1988,Juventus FC (ITA),178,"Rosario, Argentina",-32.9587022,-60.69304159999999
Argentina,12,Goalkeeper,RULLI Geronimo,Geronimo,RULLI,RULLI,20/05/1992,Villarreal CF (ESP),189,"La Plata, Argentina",-34.9204948,-57.95356570000001
Argentina,13,Defender,ROMERO Cristian,Cristian Gabriel,ROMERO,ROMERO,27/04/1998,Tottenham Hotspur FC (ENG),185,"Córdoba, Argentina",-31.42008329999999,-64.1887761
Argentina,14,Midfielder,PALACIOS Exequiel,Exequiel Alejandro,PALACIOS,PALACIOS,5/10/1998,Bayer 04 Leverkusen (GER),177,"Famaillá, Tucumán, Argentina",-27.0560551,-65.40216830000001
Argentina,15,Forward,GONZALEZ Nicolas,Nicolas Ivan,GONZALEZ,N. GONZALEZ,6/4/1998,ACF Fiorentina (ITA),180,"Escobar, Argentina",-34.3321464,-58.7831534
Argentina,16,Forward,CORREA Joaquin,Carlos Joaquin,CORREA,J. CORREA,13/08/1994,FC Internazionale (ITA),188,"Juan Bautista Alberdi, Argentina",-27.5860327,-65.62407619999999
Argentina,17,Midfielder,GOMEZ Alejandro,Alejandro Dario,GÓMEZ,GÓMEZ,15/02/1988,Sevilla FC (ESP),167,"Buenos Aires, Argentina",-34.6036844,-58.3815591
Argentina,18,Midfielder,RODRIGUEZ Guido,Guido,RODRIGUEZ,G. RODRIGUEZ,12/4/1994,Real Betis (ESP),186,"Sáenz Peña, Argentina",-26.8004428,-60.4312354
Argentina,19,Defender,OTAMENDI Nicolas,Nicolas Hernan Gonzalo,OTAMENDI,OTAMENDI,12/2/1988,SL Benca (POR),183,"Buenos Aires, Argentina",-34.6036844,-58.3815591
Argentina,20,Midfielder,MAC ALLISTER Alexis,Alexis,MAC ALLISTER,MAC ALLISTER,24/12/1998,Brighton & Hove Albion FC (ENG),176,"Santa Rosa, Argentina",-36.620922,-64.2912369
Argentina,21,Forward,DYBALA Paulo,Paulo Exequiel,DYBALA,DYBALA,15/11/1993,AS Roma (ITA),177,"Laguna Larga, Córdoba, Argentina",-31.7768475,-63.7998764
Argentina,22,Forward,MARTINEZ Lautaro,Lautaro Javier,MARTÍNEZ,L. MARTÍNEZ,22/08/1997,FC Internazionale (ITA),175,"Bahía Blanca, Argentina",-38.7183177,-62.2663478
Argentina,23,Goalkeeper,MARTINEZ Emiliano,Damián Emiliano,MARTÍNEZ,E. MARTÍNEZ,2/9/1992,Aston Villa FC (ENG),195,"Mar del Plata, Argentina",-38.0054771,-57.5426106
Argentina,24,Midfielder,FERNANDEZ Enzo,Enzo Jeremías,FERNÁNDEZ,E. FERNÁNDEZ,17/01/2001,SL Benca (POR),178,"San Martín, Argentina",-34.5757521,-58.53709649999999
Argentina,25,Defender,MARTINEZ Lisandro,Lisandro,MARTÍNEZ,MARTÍNEZ,18/01/1998,Manchester United FC (ENG),175,"Gualeguay, Argentina",-33.1503285,-59.31046849999999
Argentina,26,Defender,MOLINA Nahuel,Nahuel,MOLINA LUCERO,MOLINA,6/4/1998,CA Atlético Madrid (ESP),178,"Embalse, Argentina",-32.204975,-64.4008877
